batchNumber,item,type,location,status
675,Bicycle,B2C,Desk 675,OK
676,Bicycle,B2C,Desk 676,OK
677,Bicycle,B2C,Desk 677,OK
678,Bicycle,B2C,Desk 678,OK
679,Bicycle,B2C,Desk 679,OK
680,Bicycle,B2C,Desk 680,OK
681,Bicycle,B2C,Desk 681,OK
682,Bicycle,B2C,Desk 682,OK
683,Bicycle,B2C,Desk 683,OK
684,Bicycle,B2C,Desk 684,OK
685,Bicycle,B2C,Desk 685,OK
686,Bicycle,B2C,Desk 686,OK
687,Bicycle,B2C,Desk 687,OK
688,Bicycle,B2C,Desk 688,OK
689,Bicycle,B2C,Desk 689,OK
690,Bicycle,B2C,Desk 690,OK
691,Bicycle,B2C,Desk 691,OK
692,Bicycle,B2C,Desk 692,OK
693,Bicycle,B2C,Desk 693,OK
694,Bicycle,B2C,Desk 694,OK
695,Bicycle,B2C,Desk 695,OK
696,Bicycle,B2C,Desk 696,OK
697,Bicycle,B2C,Desk 697,OK
698,Bicycle,B2C,Desk 698,OK
699,Bicycle,B2C,Desk 699,OK
700,Bicycle,B2C,Desk 700,OK
701,Bicycle,B2C,Desk 701,OK
702,Bicycle,B2C,Desk 702,OK
703,Bicycle,B2C,Desk 703,OK
704,Bicycle,B2C,Desk 704,OK
705,Bicycle,B2C,Desk 705,OK
706,Bicycle,B2C,Desk 706,OK
707,Bicycle,B2C,Desk 707,OK
708,Bicycle,B2C,Desk 708,OK
709,Bicycle,B2C,Desk 709,OK
710,Bicycle,B2C,Desk 710,OK
711,Bicycle,B2C,Desk 711,OK
712,Bicycle,B2C,Desk 712,OK
713,Bicycle,B2C,Desk 713,OK
714,Bicycle,B2C,Desk 714,OK
715,Bicycle,B2C,Desk 715,OK
716,Bicycle,B2C,Desk 716,OK
717,Bicycle,B2C,Desk 717,OK
718,Bicycle,B2C,Desk 718,OK
719,Bicycle,B2C,Desk 719,OK
720,Bicycle,B2C,Desk 720,OK
721,Bicycle,B2C,Desk 721,OK
722,Bicycle,B2C,Desk 722,OK
723,Bicycle,B2C,Desk 723,OK
724,Bicycle,B2C,Desk 724,OK
725,Bicycle,B2C,Desk 725,OK
726,Bicycle,B2C,Desk 726,OK
727,Bicycle,B2C,Desk 727,OK
728,Bicycle,B2C,Desk 728,OK
729,Bicycle,B2C,Desk 729,OK
730,Bicycle,B2C,Desk 730,OK
731,Bicycle,B2C,Desk 731,OK
732,Bicycle,B2C,Desk 732,OK
733,Bicycle,B2C,Desk 733,OK
734,Bicycle,B2C,Desk 734,OK
735,Bicycle,B2C,Desk 735,OK
736,Bicycle,B2C,Desk 736,OK
737,Bicycle,B2C,Desk 737,OK
738,Bicycle,B2C,Desk 738,OK
739,Bicycle,B2C,Desk 739,OK
740,Bicycle,B2C,Desk 740,OK
741,Bicycle,B2C,Desk 741,OK
742,Bicycle,B2C,Desk 742,OK
743,Bicycle,B2C,Desk 743,OK
744,Bicycle,B2C,Desk 744,OK
745,Bicycle,B2C,Desk 745,OK
746,Bicycle,B2C,Desk 746,OK
747,Bicycle,B2C,Desk 747,OK
748,Bicycle,B2C,Desk 748,OK
749,Bicycle,B2C,Desk 749,OK
750,Bicycle,B2C,Desk 750,OK
751,Bicycle,B2C,Desk 751,OK
752,Bicycle,B2C,Desk 752,OK
753,Bicycle,B2C,Desk 753,OK
754,Bicycle,B2C,Desk 754,OK
755,Bicycle,B2C,Desk 755,OK
756,Bicycle,B2C,Desk 756,OK
757,Bicycle,B2C,Desk 757,OK
758,Bicycle,B2C,Desk 758,OK
759,Bicycle,B2C,Desk 759,OK
760,Bicycle,B2C,Desk 760,OK
761,Bicycle,B2C,Desk 761,OK
762,Bicycle,B2C,Desk 762,OK
763,Bicycle,B2C,Desk 763,OK
764,Bicycle,B2C,Desk 764,OK
765,Bicycle,B2C,Desk 765,OK
766,Bicycle,B2C,Desk 766,OK
767,Bicycle,B2C,Desk 767,OK
768,Bicycle,B2C,Desk 768,OK
769,Bicycle,B2C,Desk 769,OK
770,Bicycle,B2C,Desk 770,OK
771,Bicycle,B2C,Desk 771,OK
772,Bicycle,B2C,Desk 772,OK
773,Bicycle,B2C,Desk 773,OK
774,Bicycle,B2C,Desk 774,OK
775,Bicycle,B2C,Desk 775,OK
776,Bicycle,B2C,Desk 776,OK
777,Bicycle,B2C,Desk 777,OK
778,Bicycle,B2C,Desk 778,OK
779,Bicycle,B2C,Desk 779,OK
780,Bicycle,B2C,Desk 780,OK
781,Bicycle,B2C,Desk 781,OK
782,Bicycle,B2C,Desk 782,OK
783,Bicycle,B2C,Desk 783,OK
784,Bicycle,B2C,Desk 784,OK
785,Bicycle,B2C,Desk 785,OK
786,Bicycle,B2C,Desk 786,OK
787,Bicycle,B2C,Desk 787,OK
788,Bicycle,B2C,Desk 788,OK
789,Bicycle,B2C,Desk 789,OK
790,Bicycle,B2C,Desk 790,OK
791,Bicycle,B2C,Desk 791,OK
792,Bicycle,B2C,Desk 792,OK
793,Bicycle,B2C,Desk 793,OK
794,Bicycle,B2C,Desk 794,OK
795,Bicycle,B2C,Desk 795,OK
796,Bicycle,B2C,Desk 796,OK
797,Bicycle,B2C,Desk 797,OK
798,Bicycle,B2C,Desk 798,OK
799,Bicycle,B2C,Desk 799,OK
800,Bicycle,B2C,Desk 800,OK
801,Bicycle,B2C,Desk 801,OK
802,Bicycle,B2C,Desk 802,OK
803,Bicycle,B2C,Desk 803,OK
804,Bicycle,B2C,Desk 804,OK
805,Bicycle,B2C,Desk 805,OK
806,Bicycle,B2C,Desk 806,OK
807,Bicycle,B2C,Desk 807,OK
808,Bicycle,B2C,Desk 808,OK
809,Bicycle,B2C,Desk 809,OK
810,Bicycle,B2C,Desk 810,OK
811,Bicycle,B2C,Desk 811,OK
812,Bicycle,B2C,Desk 812,OK
813,Bicycle,B2C,Desk 813,OK
814,Bicycle,B2C,Desk 814,OK
815,Bicycle,B2C,Desk 815,OK
816,Bicycle,B2C,Desk 816,OK
817,Bicycle,B2C,Desk 817,OK
818,Bicycle,B2C,Desk 818,OK
819,Bicycle,B2C,Desk 819,OK
820,Bicycle,B2C,Desk 820,OK
821,Bicycle,B2C,Desk 821,OK
822,Bicycle,B2C,Desk 822,OK
823,Bicycle,B2C,Desk 823,OK
824,Bicycle,B2C,Desk 824,OK
825,Bicycle,B2C,Desk 825,OK
826,Bicycle,B2C,Desk 826,OK
827,Bicycle,B2C,Desk 827,OK
828,Bicycle,B2C,Desk 828,OK
829,Bicycle,B2C,Desk 829,OK
830,Bicycle,B2C,Desk 830,OK
831,Bicycle,B2C,Desk 831,OK
832,Bicycle,B2C,Desk 832,OK
833,Bicycle,B2C,Desk 833,OK
834,Bicycle,B2C,Desk 834,OK
835,Bicycle,B2C,Desk 835,OK
836,Bicycle,B2C,Desk 836,OK
837,Bicycle,B2C,Desk 837,OK
838,Bicycle,B2C,Desk 838,OK
839,Bicycle,B2C,Desk 839,OK
840,Bicycle,B2C,Desk 840,OK
841,Bicycle,B2C,Desk 841,OK
842,Bicycle,B2C,Desk 842,OK
843,Bicycle,B2C,Desk 843,OK
844,Bicycle,B2C,Desk 844,OK
845,Bicycle,B2C,Desk 845,OK
846,Bicycle,B2C,Desk 846,OK
847,Bicycle,B2C,Desk 847,OK
848,Bicycle,B2C,Desk 848,OK
849,Bicycle,B2C,Desk 849,OK
850,Bicycle,B2C,Desk 850,OK
851,Bicycle,B2C,Desk 851,OK
852,Bicycle,B2C,Desk 852,OK
853,Bicycle,B2C,Desk 853,OK
854,Bicycle,B2C,Desk 854,OK
855,Bicycle,B2C,Desk 855,OK
856,Bicycle,B2C,Desk 856,OK
857,Bicycle,B2C,Desk 857,OK
858,Bicycle,B2C,Desk 858,OK
859,Bicycle,B2C,Desk 859,OK
860,Bicycle,B2C,Desk 860,OK
861,Bicycle,B2C,Desk 861,OK
862,Bicycle,B2C,Desk 862,OK
863,Bicycle,B2C,Desk 863,OK
864,Bicycle,B2C,Desk 864,OK
865,Bicycle,B2C,Desk 865,OK
866,Bicycle,B2C,Desk 866,OK
867,Bicycle,B2C,Desk 867,OK
868,Bicycle,B2C,Desk 868,OK
869,Bicycle,B2C,Desk 869,OK
870,Bicycle,B2C,Desk 870,OK
871,Bicycle,B2C,Desk 871,OK
872,Bicycle,B2C,Desk 872,OK
873,Bicycle,B2C,Desk 873,OK
874,Bicycle,B2C,Desk 874,OK
875,Bicycle,B2C,Desk 875,OK
876,Bicycle,B2C,Desk 876,OK
877,Bicycle,B2C,Desk 877,OK
878,Bicycle,B2C,Desk 878,OK
879,Bicycle,B2C,Desk 879,OK
880,Bicycle,B2C,Desk 880,OK
881,Bicycle,B2C,Desk 881,OK
882,Bicycle,B2C,Desk 882,OK
883,Bicycle,B2C,Desk 883,OK
884,Bicycle,B2C,Desk 884,OK
885,Bicycle,B2C,Desk 885,OK
886,Bicycle,B2C,Desk 886,OK
887,Bicycle,B2C,Desk 887,OK
888,Bicycle,B2C,Desk 888,OK
889,Bicycle,B2C,Desk 889,OK
890,Bicycle,B2C,Desk 890,OK
891,Bicycle,B2C,Desk 891,OK
892,Bicycle,B2C,Desk 892,OK
893,Bicycle,B2C,Desk 893,OK
894,Bicycle,B2C,Desk 894,OK
895,Bicycle,B2C,Desk 895,OK
896,Bicycle,B2C,Desk 896,OK
897,Bicycle,B2C,Desk 897,OK
898,Bicycle,B2C,Desk 898,OK
899,Bicycle,B2C,Desk 899,OK
900,Bicycle,B2C,Desk 900,OK
901,Bicycle,B2C,Desk 901,OK
902,Bicycle,B2C,Desk 902,OK
903,Bicycle,B2C,Desk 903,OK
904,Bicycle,B2C,Desk 904,OK
905,Bicycle,B2C,Desk 905,OK
906,Bicycle,B2C,Desk 906,OK
907,Bicycle,B2C,Desk 907,OK
908,Bicycle,B2C,Desk 908,OK
909,Bicycle,B2C,Desk 909,OK
910,Bicycle,B2C,Desk 910,OK
911,Bicycle,B2C,Desk 911,OK
912,Bicycle,B2C,Desk 912,OK
913,Bicycle,B2C,Desk 913,OK
914,Bicycle,B2C,Desk 914,OK
915,Bicycle,B2C,Desk 915,OK
916,Bicycle,B2C,Desk 916,OK
917,Bicycle,B2C,Desk 917,OK
918,Bicycle,B2C,Desk 918,OK
919,Bicycle,B2C,Desk 919,OK
920,Bicycle,B2C,Desk 920,OK
921,Bicycle,B2C,Desk 921,OK
922,Bicycle,B2C,Desk 922,OK
923,Bicycle,B2C,Desk 923,OK
924,Bicycle,B2C,Desk 924,OK
925,Bicycle,B2C,Desk 925,OK
926,Bicycle,B2C,Desk 926,OK
927,Bicycle,B2C,Desk 927,OK
928,Bicycle,B2C,Desk 928,OK
929,Bicycle,B2C,Desk 929,OK
930,Bicycle,B2C,Desk 930,OK
931,Bicycle,B2C,Desk 931,OK
932,Bicycle,B2C,Desk 932,OK
933,Bicycle,B2C,Desk 933,OK
934,Bicycle,B2C,Desk 934,OK
935,Bicycle,B2C,Desk 935,OK
936,Bicycle,B2C,Desk 936,OK
937,Bicycle,B2C,Desk 937,OK
938,Bicycle,B2C,Desk 938,OK
939,Bicycle,B2C,Desk 939,OK
940,Bicycle,B2C,Desk 940,OK
941,Bicycle,B2C,Desk 941,OK
942,Bicycle,B2C,Desk 942,OK
943,Bicycle,B2C,Desk 943,OK
944,Bicycle,B2C,Desk 944,OK
945,Bicycle,B2C,Desk 945,OK
946,Bicycle,B2C,Desk 946,OK
947,Bicycle,B2C,Desk 947,OK
948,Bicycle,B2C,Desk 948,OK
949,Bicycle,B2C,Desk 949,OK
950,Bicycle,B2C,Desk 950,OK
951,Bicycle,B2C,Desk 951,OK
952,Bicycle,B2C,Desk 952,OK
953,Bicycle,B2C,Desk 953,OK
954,Bicycle,B2C,Desk 954,OK
955,Bicycle,B2C,Desk 955,OK
956,Bicycle,B2C,Desk 956,OK
957,Bicycle,B2C,Desk 957,OK
958,Bicycle,B2C,Desk 958,OK
959,Bicycle,B2C,Desk 959,OK
960,Bicycle,B2C,Desk 960,OK
961,Bicycle,B2C,Desk 961,OK
962,Bicycle,B2C,Desk 962,OK
963,Bicycle,B2C,Desk 963,OK
964,Bicycle,B2C,Desk 964,OK
965,Bicycle,B2C,Desk 965,OK
966,Bicycle,B2C,Desk 966,OK
967,Bicycle,B2C,Desk 967,OK
968,Bicycle,B2C,Desk 968,OK
969,Bicycle,B2C,Desk 969,OK
970,Bicycle,B2C,Desk 970,OK
971,Bicycle,B2C,Desk 971,OK
972,Bicycle,B2C,Desk 972,OK
973,Bicycle,B2C,Desk 973,OK
974,Bicycle,B2C,Desk 974,OK
975,Bicycle,B2C,Desk 975,OK
976,Bicycle,B2C,Desk 976,OK
977,Bicycle,B2C,Desk 977,OK
978,Bicycle,B2C,Desk 978,OK
979,Bicycle,B2C,Desk 979,OK
980,Bicycle,B2C,Desk 980,OK
981,Bicycle,B2C,Desk 981,OK
982,Bicycle,B2C,Desk 982,OK
983,Bicycle,B2C,Desk 983,OK
984,Bicycle,B2C,Desk 984,OK
985,Bicycle,B2C,Desk 985,OK
986,Bicycle,B2C,Desk 986,OK
987,Bicycle,B2C,Desk 987,OK
988,Bicycle,B2C,Desk 988,OK
989,Bicycle,B2C,Desk 989,OK
990,Bicycle,B2C,Desk 990,OK
991,Bicycle,B2C,Desk 991,OK
992,Bicycle,B2C,Desk 992,OK
993,Bicycle,B2C,Desk 993,OK
994,Bicycle,B2C,Desk 994,OK
995,Bicycle,B2C,Desk 995,OK
996,Bicycle,B2C,Desk 996,OK
997,Bicycle,B2C,Desk 997,OK
998,Bicycle,B2C,Desk 998,OK
999,Bicycle,B2C,Desk 999,OK
1000,Bicycle,B2C,Desk 1000,OK
